Шаг dt Diff_x Diff_y Diff_z
0 0.0 0.0 -8.391724815037804e-17 0.0
1 0.001 0.0 -1.6783449630075609e-16 1.1102230246251565e-16
2 0.002 0.0 -2.5326962749261384e-16 2.220446049250313e-16
3 0.003 1.1102230246251565e-15 -3.382710778154774e-16 2.220446049250313e-16
4 0.004 8.881784197001252e-16 -4.2413988987632933e-16 2.7755575615628914e-16
5 0.005 1.1102230246251565e-15 -5.100087019371813e-16 3.3306690738754696e-16
6 0.006 1.1102230246251565e-15 -6.002143226879753e-16 2.7755575615628914e-16
7 0.007 8.881784197001252e-16 -6.886852199627924e-16 4.996003610813204e-16
8 0.008 1.1102230246251565e-15 -7.7021722333370235e-16 4.996003610813204e-16
9 0.009000000000000001 1.9984014443252818e-15 -8.604228440844963e-16 4.996003610813204e-16
10 0.01 8.881784197001252e-16 -9.506284648352903e-16 5.551115123125783e-16
11 0.011 1.9984014443252818e-15 -1.0408340855860843e-15 7.216449660063518e-16
12 0.012 1.9984014443252818e-15 -1.1206313654810174e-15 7.216449660063518e-16
13 0.013 1.9984014443252818e-15 -1.2212453270876722e-15 7.771561172376096e-16
14 0.01400000000000001 1.9984014443252818e-15 -1.3079815008865125e-15 8.326672684688674e-16
15 0.01500000000000001 1.9984014443252818e-15 -1.3981871216373065e-15 8.881784197001252e-16
16 0.01600000000000001 2.886579864025407e-15 -1.4883927423881005e-15 8.881784197001252e-16
17 0.01700000000000001 3.1086244689504383e-15 -1.582067810090848e-15 9.992007221626409e-16
18 0.01800000000000001 2.886579864025407e-15 -1.672273430841642e-15 1.0547118733938987e-15
19 0.01900000000000001 3.1086244689504383e-15 -1.7694179454963432e-15 1.1102230246251565e-15
20 0.02000000000000001 3.1086244689504383e-15 -1.870031907102998e-15 1.1657341758564144e-15
21 0.02100000000000001 2.886579864025407e-15 -1.9567680809018384e-15 1.2212453270876722e-15
22 0.02200000000000001 3.1086244689504383e-15 -2.060851489460447e-15 1.3322676295501878e-15
23 0.02300000000000001 3.1086244689504383e-15 -2.157996004115148e-15 1.27675647831893e-15
24 0.02400000000000001 3.9968028886505635e-15 -2.2551405187698492e-15 1.3877787807814457e-15
25 0.02500000000000002 3.9968028886505635e-15 -2.3592239273284576e-15 1.3877787807814457e-15
26 0.02600000000000002 3.9968028886505635e-15 -2.4494295480792516e-15 1.609823385706477e-15
27 0.02700000000000002 4.884981308350689e-15 -2.5604518505417673e-15 1.609823385706477e-15
28 0.02800000000000002 3.9968028886505635e-15 -2.6506574712925612e-15 1.7208456881689926e-15
29 0.02900000000000002 5.10702591327572e-15 -2.7547408798511697e-15 1.8318679906315083e-15
30 0.03000000000000002 4.884981308350689e-15 -2.8657631823136853e-15 1.8318679906315083e-15
31 0.03100000000000002 5.995204332975845e-15 -2.9629076969683865e-15 1.7763568394002505e-15
32 0.03200000000000002 5.10702591327572e-15 -3.0531133177191805e-15 1.9984014443252818e-15
33 0.03300000000000002 5.995204332975845e-15 -3.157196726277789e-15 1.9984014443252818e-15
34 0.03400000000000002 5.10702591327572e-15 -3.25434124093249e-15 2.1094237467877974e-15
35 0.03500000000000002 5.995204332975845e-15 -3.372302437298913e-15 2.1649348980190553e-15
36 0.03600000000000003 5.995204332975845e-15 -3.469446951953614e-15 2.3314683517128287e-15
37 0.03700000000000003 5.995204332975845e-15 -3.58046925441613e-15 2.275957200481571e-15
38 0.03800000000000003 5.995204332975845e-15 -3.684552662974738e-15 2.275957200481571e-15
39 0.03900000000000003 5.995204332975845e-15 -3.788636071533347e-15 2.4980018054066022e-15
40 0.04000000000000003 7.105427357601002e-15 -3.899658373995862e-15 2.609024107869118e-15
41 0.04100000000000003 6.8833827526759706e-15 -4.003741782554471e-15 2.55351295663786e-15
42 0.04200000000000003 7.993605777301127e-15 -4.1147640850169864e-15 2.7200464103316335e-15
43 0.04300000000000003 7.993605777301127e-15 -4.232725281383409e-15 2.7200464103316335e-15
44 0.04400000000000003 7.993605777301127e-15 -4.343747583845925e-15 2.7755575615628914e-15
45 0.04500000000000003 7.993605777301127e-15 -4.454769886308441e-15 2.7755575615628914e-15
46 0.04600000000000003 7.993605777301127e-15 -4.565792188770956e-15 2.9976021664879227e-15
47 0.04700000000000003 7.993605777301127e-15 -4.676814491233472e-15 2.9976021664879227e-15
48 0.04800000000000004 7.993605777301127e-15 -4.7878367936959876e-15 3.219646771412954e-15
49 0.04900000000000004 8.881784197001252e-15 -4.898859096158503e-15 3.219646771412954e-15
50 0.05000000000000004 7.993605777301127e-15 -5.023759186428833e-15 3.164135620181696e-15
51 0.05100000000000004 7.993605777301127e-15 -5.134781488891349e-15 3.3861802251067274e-15
52 0.05200000000000004 9.103828801926284e-15 -5.245803791353865e-15 3.3861802251067274e-15
53 0.05300000000000004 7.993605777301127e-15 -5.35682609381638e-15 3.3861802251067274e-15
54 0.05400000000000004 9.103828801926284e-15 -5.467848396278896e-15 3.608224830031759e-15
55 0.05500000000000004 9.103828801926284e-15 -5.578870698741412e-15 3.7192471324942744e-15
56 0.05600000000000004 9.103828801926284e-15 -5.689893001203927e-15 3.6637359812630166e-15
57 0.05700000000000004 9.103828801926284e-15 -5.814793091474257e-15 3.885780586188048e-15
58 0.05800000000000004 8.881784197001252e-15 -5.9396931817445875e-15 3.774758283725532e-15
59 0.05900000000000005 9.992007221626409e-15 -6.050715484207103e-15 3.9968028886505635e-15
60 0.06000000000000005 8.881784197001252e-15 -6.161737786669619e-15 3.9968028886505635e-15
61 0.06100000000000005 9.992007221626409e-15 -6.286637876939949e-15 4.107825191113079e-15
62 0.06200000000000005 9.992007221626409e-15 -6.3976601794024646e-15 4.107825191113079e-15
63 0.06300000000000004 9.992007221626409e-15 -6.522560269672795e-15 4.218847493575595e-15
64 0.06400000000000004 1.1102230246251565e-14 -6.619704784327496e-15 4.3298697960381105e-15
65 0.06500000000000004 1.0880185641326534e-14 -6.772360450213455e-15 4.274358644806853e-15
66 0.06600000000000004 9.992007221626409e-15 -6.8833827526759706e-15 4.385380947269368e-15
67 0.06700000000000005 9.992007221626409e-15 -7.022160630754115e-15 4.496403249731884e-15
68 0.06800000000000005 1.1102230246251565e-14 -7.119305145408816e-15 4.6074255521944e-15
69 0.06900000000000005 1.0880185641326534e-14 -7.244205235679146e-15 4.6074255521944e-15
70 0.07000000000000005 1.1102230246251565e-14 -7.369105325949477e-15 4.718447854656915e-15
71 0.07100000000000005 1.0880185641326534e-14 -7.507883204027621e-15 4.773959005888173e-15
72 0.07200000000000005 1.199040866595169e-14 -7.591149930874508e-15 4.884981308350689e-15
73 0.07300000000000005 1.199040866595169e-14 -7.799316747991725e-15 4.9960036108132044e-15
74 0.07400000000000005 1.199040866595169e-14 -7.799316747991725e-15 5.10702591327572e-15
75 0.07500000000000005 1.2878587085651816e-14 -8.007483565108942e-15 5.218048215738236e-15
76 0.07600000000000005 1.3100631690576847e-14 -8.201772594418344e-15 5.329070518200751e-15
77 0.07700000000000005 1.3100631690576847e-14 -8.298917109073045e-15 5.384581669432009e-15
78 0.07800000000000006 1.3100631690576847e-14 -8.409939411535561e-15 5.384581669432009e-15
79 0.07900000000000006 1.2878587085651816e-14 -8.493206138382448e-15 5.495603971894525e-15
80 0.08000000000000006 1.3988810110276972e-14 -8.604228440844963e-15 5.6066262743570405e-15
81 0.08100000000000006 1.3988810110276972e-14 -8.798517470154366e-15 5.717648576819556e-15
82 0.08200000000000006 1.3988810110276972e-14 -8.992806499463768e-15 5.717648576819556e-15
83 0.08300000000000006 1.3988810110276972e-14 -8.992806499463768e-15 5.88418203051333e-15
84 0.08400000000000006 1.4876988529977098e-14 -9.103828801926284e-15 5.995204332975845e-15
85 0.08500000000000006 1.509903313490213e-14 -9.298117831235686e-15 6.106226635438361e-15
86 0.08600000000000006 1.509903313490213e-14 -9.395262345890387e-15 6.217248937900877e-15
87 0.08700000000000006 1.5987211554602254e-14 -9.492406860545088e-15 6.328271240363392e-15
88 0.08800000000000006 1.5987211554602254e-14 -9.700573677662305e-15 6.439293542825908e-15
89 0.08900000000000007 1.5987211554602254e-14 -9.797718192317006e-15 6.5503158452884236e-15
90 0.09000000000000007 1.5987211554602254e-14 -1.0019762797242038e-14 6.494804694057166e-15
91 0.09100000000000008 1.5987211554602254e-14 -1.0103029524088925e-14 6.5503158452884236e-15
92 0.09200000000000008 1.5987211554602254e-14 -1.0297318553398327e-14 6.827871601444713e-15
93 0.09300000000000008 1.709743457922741e-14 -1.0380585280245214e-14 6.938893903907228e-15
94 0.09400000000000008 1.687538997430238e-14 -1.0602629885170245e-14 6.994405055138486e-15
95 0.09500000000000008 1.709743457922741e-14 -1.071365218763276e-14 7.105427357601002e-15
