Шаг dt Diff_x Diff_y Diff_z
0 0.0 -7.537866841822449e-07 1.21673316463497e-06 4.6073238246790993e-07
1 0.001 -1.5086378040152226e-06 2.4387336939150905e-06 9.238589085969195e-07
2 0.002 -2.264564184839557e-06 3.6660261358047175e-06 1.389367860371582e-06
3 0.003 -3.0215766320118576e-06 4.8986351966692765e-06 1.857247516667826e-06
4 0.004 -3.779685926019738e-06 6.13658574259799e-06 2.3274861525313106e-06
5 0.005 -4.538902827144753e-06 7.379902800731808e-06 2.8000720397880485e-06
6 0.006 -5.2992380701333275e-06 8.628611560599145e-06 3.2749934470999165e-06
7 0.007 -6.060702365973114e-06 9.882737375429065e-06 3.752238640131189e-06
8 0.008 -6.8233064001166355e-06 1.1142305763539931e-05 4.231795881437517e-06
9 0.009000000000000001 -7.587060832037196e-06 1.24073424096309e-05 4.713653431132059e-06
10 0.01 -8.351976291010033e-06 1.3677873166150628e-05 5.1977995462193505e-06
11 0.011 -9.1180633829957e-06 1.4953924054671164e-05 5.684222481316947e-06
12 0.012 -9.885332679981929e-06 1.623552126722022e-05 6.1729104890995146e-06
13 0.013 -1.0653794724868604e-05 1.7522691167639465e-05 6.663851819521671e-06
14 0.01400000000000001 -1.1423460033022081e-05 1.881546029298964e-05 7.157034720484123e-06
15 0.01500000000000001 -1.2194339082061134e-05 2.011385535483773e-05 7.652447438499799e-06
16 0.01600000000000001 -1.2966442322071003e-05 2.1417903240738417e-05 8.150078217805667e-06
17 0.01700000000000001 -1.3739780164945259e-05 2.272763101551084e-05 8.64991530119541e-06
18 0.01800000000000001 -1.4514362987938512e-05 2.4043065922702694e-05 9.151946930296972e-06
19 0.01900000000000001 -1.5290201136108905e-05 2.5364235385898215e-05 9.656161345406034e-06
20 0.02000000000000001 -1.6067304912992242e-05 2.6691167010151062e-05 1.0162546785597026e-05
21 0.02100000000000001 -1.6845684585042875e-05 2.8023888583382506e-05 1.0671091489500295e-05
22 0.02200000000000001 -1.7625350380967575e-05 2.9362428077717162e-05 1.1181783694691472e-05
23 0.02300000000000001 -1.840631248795077e-05 3.070681365095751e-05 1.1694611638413122e-05
24 0.02400000000000001 -1.9188581054097043e-05 3.205707364795085e-05 1.2209563557630254e-05
25 0.02500000000000002 -1.99721661808816e-05 3.3413236601949337e-05 1.2726627689196857e-05
26 0.02600000000000002 -2.0757077929145495e-05 3.477533123605325e-05 1.3245792270077938e-05
27 0.02700000000000002 -2.1543326315986988e-05 3.614338646470289e-05 1.3767045537904643e-05
28 0.02800000000000002 -2.2330921309876572e-05 3.751743139487895e-05 1.4290375730197091e-05
29 0.02900000000000002 -2.3119872835097866e-05 3.889749532774711e-05 1.481577108575216e-05
30 0.03000000000000002 -2.3910190766862627e-05 4.028360775992085e-05 1.5343219844199396e-05
31 0.03100000000000002 -2.4701884931088713e-05 4.1675798384939455e-05 1.5872710246334076e-05
32 0.03200000000000002 -2.5494965102179634e-05 4.307409709470439e-05 1.6404230534117215e-05
33 0.03300000000000002 -2.628944100502295e-05 4.447853398082541e-05 1.693776895178578e-05
34 0.03400000000000002 -2.7085322310993476e-05 4.588913933616795e-05 1.7473313744909014e-05
35 0.03500000000000002 -2.788261863795327e-05 4.7305943656157645e-05 1.8010853161221085e-05
36 0.03600000000000003 -2.868133954692098e-05 4.8728977640272175e-05 1.8550375451120704e-05
37 0.03700000000000003 -2.9481494545180453e-05 5.015827219347069e-05 1.9091868867393558e-05
38 0.03800000000000003 -3.028309307895327e-05 5.159385842760239e-05 1.963532166554538e-05
39 0.03900000000000003 -3.108614453894987e-05 5.303576766286372e-05 2.018072210430155e-05
40 0.04000000000000003 -3.189065825304205e-05 5.448403142924163e-05 2.072805844599568e-05
41 0.04100000000000003 -3.2696643488039356e-05 5.593868146787362e-05 2.1277318956347546e-05
42 0.04200000000000003 -3.3504109449022934e-05 5.7399749732608973e-05 2.182849190446312e-05
43 0.04300000000000003 -3.4313065275126675e-05 5.8867268391327165e-05 2.2381565564499883e-05
44 0.04400000000000003 -3.5123520039981315e-05 6.034126982744359e-05 2.2936528214390073e-05
45 0.04500000000000003 -3.593548275415692e-05 6.18217866413251e-05 2.349336813700642e-05
46 0.04600000000000003 -3.674896235295044e-05 6.330885165176103e-05 2.4052073619884595e-05
47 0.04700000000000003 -3.7563967709042245e-05 6.480249789736492e-05 2.461263295611138e-05
48 0.04800000000000004 -3.838050761806322e-05 6.630275863801771e-05 2.517503444410263e-05
49 0.04900000000000004 -3.9198590809030875e-05 6.780966735632499e-05 2.5739266388102866e-05
50 0.05000000000000004 -4.001822592902826e-05 6.932325775907411e-05 2.6305317098407333e-05
51 0.05100000000000004 -4.0839421558969136e-05 7.0843563778622e-05 2.687317489169505e-05
52 0.05200000000000004 -4.166218619605644e-05 7.237061957436619e-05 2.7442828091472915e-05
53 0.05300000000000004 -4.2486528259999545e-05 7.390445953418812e-05 2.8014265027909158e-05
54 0.05400000000000004 -4.3312456094124485e-05 7.544511827588252e-05 2.8587474038499483e-05
55 0.05500000000000004 -4.413997795493785e-05 7.699263064861461e-05 2.9162443468511157e-05
56 0.05600000000000004 -4.496910202211879e-05 7.8547031734294e-05 2.9739161671038516e-05
57 0.05700000000000004 -4.579983638497431e-05 8.01083568491151e-05 3.0317617007113995e-05
58 0.05800000000000004 -4.663218904998878e-05 8.167664154487553e-05 3.089779784670732e-05
59 0.05900000000000005 -4.746616793593894e-05 8.32519216104749e-05 3.147969256800387e-05
60 0.06000000000000005 -4.8301780869897115e-05 8.483423307334426e-05 3.2063289558903474e-05
61 0.06100000000000005 -4.9139035591005964e-05 8.642361220088934e-05 3.264857721652081e-05
62 0.06200000000000005 -4.997793974115261e-05 8.802009550182288e-05 3.323554394762951e-05
63 0.06300000000000004 -5.081850087296225e-05 8.962371972773275e-05 3.3824178169272745e-05
64 0.06400000000000004 -5.166072644202657e-05 9.123452187434489e-05 3.4414468309096335e-05
65 0.06500000000000004 -5.250462380201881e-05 9.285253918313308e-05 3.500640280512668e-05
66 0.06600000000000004 -5.335020021202119e-05 9.447780914254023e-05 3.5599970106825474e-05
67 0.06700000000000005 -5.4197462826977016e-05 9.611036948951879e-05 3.619515867492318e-05
68 0.06800000000000005 -5.504641870213156e-05 9.775025821086303e-05 3.679195698219617e-05
69 0.06900000000000005 -5.589707478392825e-05 9.939751354468007e-05 3.739035351330022e-05
70 0.07000000000000005 -5.6749437915115664e-05 0.00010105217398181932 3.799033676560315e-05
71 0.07100000000000005 -5.760351482697601e-05 0.0001027142782672047 3.859189524901829e-05
72 0.07200000000000005 -5.845931214598643e-05 0.00010438386540100042 3.9195017487003714e-05
73 0.07300000000000005 -5.931683638005225e-05 0.00010606097464080366 3.979969201650668e-05
74 0.07400000000000005 -6.0176093926944674e-05 0.00010774564550170007 4.0405907388185724e-05
75 0.07500000000000005 -6.10370910689717e-05 0.00010943791775920586 4.1013652167187775e-05
76 0.07600000000000005 -6.189983396809318e-05 0.00011113783144950373 4.162291493314818e-05
77 0.07700000000000005 -6.276432866791914e-05 0.00011284542687090005 4.2233684281023365e-05
78 0.07800000000000006 -6.363058109104536e-05 0.00011456074458600363 4.284594882081327e-05
79 0.07900000000000006 -6.449859703505645e-05 0.00011628382542200333 4.3459697178171997e-05
80 0.08000000000000006 -6.536838217208185e-05 0.00011801471047309664 4.407491799540697e-05
81 0.08100000000000006 -6.623994204701944e-05 0.00011975344110089214 4.469159993086835e-05
82 0.08200000000000006 -6.711328207309464e-05 0.0001215000589362969 4.530973166017027e-05
83 0.08300000000000006 -6.798840753408086e-05 0.00012325460588079318 4.592930187580224e-05
84 0.08400000000000006 -6.886532357985864e-05 0.00012501712410760424 4.655029928807286e-05
85 0.08500000000000006 -6.974403522108652e-05 0.0001267876560633041 4.717271262538736e-05
86 0.08600000000000006 -7.062454733297585e-05 0.00012856624446849763 4.7796530634802714e-05
87 0.08700000000000006 -7.15068646479633e-05 0.00013035293231999923 4.842174208147254e-05
88 0.08800000000000006 -7.239099175793129e-05 0.00013214776289161012 4.9048335750701e-05
89 0.08900000000000007 -7.327693310887895e-05 0.0001339507797352979 4.9676300446666044e-05
90 0.09000000000000007 -7.416469300003392e-05 0.00013576202668280635 5.030562499414026e-05
91 0.09100000000000008 -7.50542755800776e-05 0.00013758154784679344 5.0936298237547195e-05
92 0.09200000000000008 -7.594568484803332e-05 0.00013940938762219135 5.1568309042904215e-05
93 0.09300000000000008 -7.683892464704911e-05 0.0001412455906871779 5.220164629704538e-05
94 0.09400000000000008 -7.773399866395359e-05 0.00014309020200500844 5.2836298908454093e-05
95 0.09500000000000008 -7.863091042903392e-05 0.0001449432668242101 5.347225580792925e-05
96 0.09600000000000009 -7.952966330715405e-05 0.00014680483068088557 5.4109505948196635e-05
97 0.09700000000000009 -8.043026050508217e-05 0.00014867493939971221 5.474803830518571e-05
98 0.09800000000000007 -8.133270505994439e-05 0.00015055363909438624 5.538784187819612e-05
99 0.09900000000000007 -8.223699984100108e-05 0.0001524409761697043 5.602890568978669e-05
100 0.1000000000000001 -8.314314754587215e-05 0.00015433699732247952 5.667121878705217e-05
101 0.1010000000000001 -8.405115070209135e-05 0.00015624174954229075 5.731477024140119e-05
102 0.1020000000000001 -8.496101165489378e-05 0.00015815528011320357 5.795954914922241e-05
103 0.1030000000000001 -8.587273257898431e-05 0.00016007763661479713 5.8605544632217565e-05
104 0.1040000000000001 -8.678631546210624e-05 0.00016200886692288585 5.925274583790108e-05
105 0.1050000000000001 -8.770176210703973e-05 0.0001639490192112958 5.9901141940099656e-05
106 0.1060000000000001 -8.861907413515446e-05 0.00016589814195228092 6.055072213928536e-05
107 0.1070000000000001 -8.953825297597362e-05 0.0001678562839183828 6.120147566274214e-05
108 0.1080000000000001 -9.045929986495338e-05 0.0001698234941824861 6.185339176550952e-05
109 0.1090000000000001 -9.138221584814588e-05 0.00017179982211998346 6.250645973049362e-05
110 0.1100000000000001 -9.230700176909856e-05 0.00017378531740921965 6.316066886896676e-05
111 0.1110000000000001 -9.323365827484942e-05 0.0001757800300322132 6.381600852106706e-05
112 0.1120000000000001 -9.416218580504676e-05 0.00017778401027637725 6.447246805629803e-05
113 0.1130000000000001 -9.509258459794445e-05 0.00017979730873549093 6.513003687330654e-05
114 0.1140000000000001 -9.60248546799658e-05 0.00018181997630989377 6.578870440132611e-05
115 0.1150000000000001 -9.695899586814605e-05 0.00018385206420820643 6.644846010006589e-05
116 0.1160000000000001 -9.789500776213877e-05 0.00018589362394810793 6.710929346037675e-05
117 0.1170000000000001 -9.883288974599225e-05 0.00018794470735680746 6.777119400419584e-05
118 0.1180000000000001 -9.977264098104399e-05 0.00019000536657298728 6.843415128560126e-05
119 0.1190000000000001 -0.00010071426040703102 0.00019207565404641413 6.909815489114512e-05
120 0.1200000000000001 -0.00010165774673609462 0.00019415562253968788 6.976319443957602e-05
121 0.1210000000000001 -0.00010260309844989379 0.00019624532512910187 7.042925958372637e-05
122 0.1220000000000001 -0.00010355031379782886 0.00019834481520478175 7.109634000929121e-05
123 0.1230000000000001 -0.00010449939079304471 0.00020045414647237858 7.176442543649353e-05
124 0.1240000000000001 -0.00010545032720798986 0.00020257337295290223 7.243350562019524e-05
125 0.1250000000000001 -0.00010640312057308421 0.0002047025489846921 7.310357035017478e-05
126 0.1260000000000001 -0.00010735776817405451 0.00020684172922272315 7.37746094514602e-05
127 0.1270000000000001 -0.00010831426704505098 0.0002089909686409097 7.444661278566134e-05
128 0.1280000000000001 -0.00010927261396909138 0.00021115032253121724 7.511957025008176e-05
129 0.1290000000000001 -0.00011023280547384218 0.00021331984650571623 7.579347177921747e-05
130 0.1300000000000001 -0.00011119483782606743 0.00021549959649649897 7.646830734470145e-05
131 0.1310000000000001 -0.00011215870703096265 0.0002176896287562069 7.714406695602527e-05
132 0.1320000000000001 -0.0001131244088261596 0.00021988999985919633 7.782074066076117e-05
133 0.1330000000000001 -0.00011409193868106016 0.00022210076670159395 7.849831854561673e-05
134 0.1340000000000001 -0.00011506129178995295 0.00022432198650232382 7.917679073560224e-05
135 0.1350000000000001 -0.00011603246307201331 0.00022655371680310732 7.98561473960846e-05
136 0.1360000000000001 -0.00011700544716397587 0.00022879601546949013 8.053637873223218e-05
137 0.1370000000000001 -0.0001179802384201345 0.0002310489406908145 8.121747498918142e-05
138 0.1380000000000001 -0.00011895683090679121 0.00023331255098110737 8.189942645392412e-05
139 0.1390000000000001 -0.00011993521839714916 0.00023558690517910819 8.25822234541973e-05
140 0.1400000000000001 -0.00012091539436998033 0.00023787206244890724 8.326585636003747e-05
141 0.1410000000000001 -0.00012189735200607288 0.00024016808228061182 8.395031558344757e-05
142 0.1420000000000001 -0.00012288108418201382 0.0002424750244899021 8.463559157939615e-05
143 0.1430000000000001 -0.00012386658346508206 0.0002447929492186973 8.532167484626152e-05
144 0.1440000000000001 -0.00012485384211791128 0.0002471219169355998 8.600855592605372e-05
145 0.1450000000000001 -0.00012584285208294688 0.0002494619884362004 8.669622540480315e-05
146 0.1460000000000001 -0.0001268336049859986 0.00025181322484238433 8.73846739132822e-05
147 0.1470000000000001 -0.00012782609213091156 0.00025417568760388587 8.807389212756034e-05
148 0.1480000000000001 -0.00012882030449401505 0.00025654943849739986 8.87638707691707e-05
149 0.1490000000000001 -0.00012981623271901555 0.0002589345396268039 8.945460060527655e-05
150 0.1500000000000001 -0.00013081386711810694 0.0002613310534236024 9.014607245022566e-05
151 0.1510000000000001 -0.00013181319765998012 0.0002637390426466213 9.083827716460657e-05
152 0.1520000000000001 -0.00013281421397492998 0.00026615857038209123 9.153120565713602e-05
153 0.1530000000000001 -0.0001338169053410887 0.00026858970004359217 9.222484888388172e-05
154 0.1540000000000001 -0.00013482126068686817 0.00027103249537210883 9.291919784937264e-05
155 0.1550000000000001 -0.0001358272685851869 0.0002734870204355866 9.361424360698756e-05
156 0.1560000000000001 -0.00013683491724703067 0.00027595333962898705 9.430997725939916e-05
157 0.1570000000000001 -0.00013784419451590146 0.0002784315176740104 9.500638995890709e-05
158 0.1580000000000001 -0.00013885508786892764 0.000280921619618707 9.570347290799308e-05
159 0.1590000000000001 -0.00013986758440909242 0.00028342371083761586 9.640121735976503e-05
160 0.1600000000000001 -0.0001408816708590166 0.0002859378570308213 9.709961461856764e-05
161 0.1610000000000001 -0.00014189733355984835 0.00028846412422411927 9.779865604020443e-05
162 0.1620000000000001 -0.00014291455846393575 0.00029100257876821245 9.849833303215982e-05
163 0.1630000000000001 -0.0001439333311290536 0.000293553287338405 9.919863705498688e-05
164 0.1640000000000001 -0.00014495363671906958 0.000296116316933992 9.989955962180774e-05
