Шаг dt Diff_x Diff_y Diff_z
0 0.0 0.0 8.391724815037804e-17 0.0
1 0.001 0.0 1.6783449630075609e-16 -1.1102230246251565e-16
2 0.002 1.283240180782741e-10 -7.873395312454901e-10 -3.5524450048285416e-10
3 0.003 2.5791790925211444e-10 -1.5761897854613127e-09 -7.081374375772498e-10
4 0.004 3.887850041905949e-10 -2.3665762171123927e-09 -1.0586789778166406e-09
5 0.005 5.209259690275303e-10 -3.1585247160792473e-09 -1.406869232223329e-09
6 0.006 6.543408037629206e-10 -3.952061440257171e-09 -1.7527083673307686e-09
7 0.007 7.890310627090003e-10 -4.747212810352064e-09 -2.096196716205867e-09
8 0.008 9.249958576873496e-10 -5.544005549779074e-09 -2.437334500893229e-09
9 0.009000000000000001 1.0622378532332277e-09 -6.342466598793783e-09 -2.7761219989486108e-09
10 0.01 1.2007570493466346e-09 -7.1426232289839575e-09 -3.112559654461222e-09
11 0.011 1.3405518917153358e-09 -7.944502940920861e-09 -3.4466481890760292e-09
12 0.012 1.4816250448745905e-09 -8.74813354048709e-09 -3.778387713815334e-09
13 0.013 1.6239771749582133e-09 -9.55354309203904e-09 -4.107779116857557e-09
14 0.01400000000000001 1.767606061520155e-09 -1.036075995136665e-08 -4.434822786780757e-09
15 0.01500000000000001 1.912513925006465e-09 -1.1169812751815611e-08 -4.759519667274503e-09
16 0.01600000000000001 2.058698100881884e-09 -1.198073040081793e-08 -5.081870479983763e-09
17 0.01700000000000001 2.206161031637066e-09 -1.2793542079891917e-08 -5.401876002064654e-09
18 0.01800000000000001 2.354901162959777e-09 -1.3608277279336667e-08 -5.719537177206746e-09
19 0.01900000000000001 2.504918050760807e-09 -1.4424965742720897e-08 -6.034854893588459e-09
20 0.02000000000000001 2.656211028906341e-09 -1.5243637511985764e-08 -6.347830261432819e-09
21 0.02100000000000001 2.8087800973963795e-09 -1.6064322927444863e-08 -6.658464390962848e-09
22 0.02200000000000001 2.9626239239632923e-09 -1.688705258962031e-08 -6.966758447912724e-09
23 0.02300000000000001 3.11774206451787e-09 -1.771185741128445e-08 -7.2727133759720175e-09
24 0.02400000000000001 3.274132076569458e-09 -1.8538768568887587e-08 -7.576330895986416e-09
25 0.02500000000000002 3.4317930719396372e-09 -1.9367817558069156e-08 -7.877612229201247e-09
26 0.02600000000000002 3.5907270490298515e-09 -2.019903616590213e-08 -8.17655870788414e-09
27 0.02700000000000002 3.750929122858793e-09 -2.103245639456519e-08 -8.47317183083618e-09
28 0.02800000000000002 3.912399071381856e-09 -2.186811066257066e-08 -8.767453318903051e-09
29 0.02900000000000002 4.075134008019177e-09 -2.2706031582719888e-08 -9.059404615374689e-09
30 0.03000000000000002 4.2391341548153605e-09 -2.3546252114758914e-08 -9.349027607630234e-09
31 0.03100000000000002 4.404395959056728e-09 -2.4388805489050647e-08 -9.636323961004223e-09
32 0.03200000000000002 4.57091897665407e-09 -2.523372525514711e-08 -9.921295784920403e-09
33 0.03300000000000002 4.738699876938313e-09 -2.6081045240156087e-08 -1.0203944744713311e-08
34 0.03400000000000002 4.907736883552616e-09 -2.6930799569557795e-08 -1.0484272894295543e-08
35 0.03500000000000002 5.078026887872511e-09 -2.7783022674143787e-08 -1.0762282398601997e-08
36 0.03600000000000003 5.249568113541159e-09 -2.8637749290016945e-08 -1.103797542256757e-08
37 0.03700000000000003 5.4223578960233e-09 -2.9495014444713696e-08 -1.1311353964593707e-08
38 0.03800000000000003 5.596392016471441e-09 -3.035485345026512e-08 -1.1582420800237969e-08
39 0.03900000000000003 5.771668920573347e-09 -3.1217301986463664e-08 -1.1851178094435255e-08
40 0.04000000000000003 5.948183945392316e-09 -3.2082395927390817e-08 -1.2117628234165068e-08
41 0.04100000000000003 6.1259359807053215e-09 -3.295017157040059e-08 -1.2381773550895758e-08
42 0.04200000000000003 6.304919919486451e-09 -3.3820665434891595e-08 -1.264361731978525e-08
43 0.04300000000000003 6.4851319869774215e-09 -3.4693914380268254e-08 -1.290316170576844e-08
44 0.04400000000000003 6.6665710729552075e-09 -3.556995556430742e-08 -1.3160409706447496e-08
45 0.04500000000000003 6.8492298499478466e-09 -3.644882644315839e-08 -1.341536420840228e-08
46 0.04600000000000003 7.03310609750929e-09 -3.733056479215957e-08 -1.3668028098212659e-08
47 0.04700000000000003 7.218194930658228e-09 -3.8215208678082924e-08 -1.3918404428991948e-08
48 0.04800000000000004 7.404493906904008e-09 -3.91027965146451e-08 -1.416649642038692e-08
49 0.04900000000000004 7.591994144462433e-09 -3.999336696536293e-08 -1.441230701448859e-08
50 0.05000000000000004 7.780696087422712e-09 -4.0886959054575733e-08 -1.4655839597477183e-08
51 0.05100000000000004 7.970591076045253e-09 -4.1783612098056366e-08 -1.489709783308868e-08
52 0.05200000000000004 8.161676001705587e-09 -4.268336571688902e-08 -1.5136084718925247e-08
53 0.05300000000000004 8.353944869199381e-09 -4.35862598652248e-08 -1.537280402974517e-08
54 0.05400000000000004 8.547391905366908e-09 -4.449233477477055e-08 -1.5607259373773275e-08
55 0.05500000000000004 8.742012891360673e-09 -4.5401631024177824e-08 -1.583945463679015e-08
56 0.05600000000000004 8.937801831976344e-09 -4.631418948353172e-08 -1.6069393204976024e-08
57 0.05700000000000004 9.134752065875773e-09 -4.723005132822866e-08 -1.6297079297178385e-08
58 0.05800000000000004 9.332858041943837e-09 -4.814925806673198e-08 -1.652251668815552e-08
59 0.05900000000000005 9.532111988619363e-09 -4.907185152669413e-08 -1.6745709707777223e-08
60 0.06000000000000005 9.732510131144068e-09 -4.99978738410789e-08 -1.6966662075290628e-08
61 0.06100000000000005 9.934043143644544e-09 -5.092736743428361e-08 -1.718537850914359e-08
62 0.06200000000000005 1.0136707029317904e-08 -5.186037509152808e-08 -1.7401863006138996e-08
63 0.06300000000000004 1.034049201820153e-08 -5.279693987558787e-08 -1.761612022921355e-08
64 0.06400000000000004 1.0545391893046485e-08 -5.3737105196183244e-08 -1.7828154397214746e-08
65 0.06500000000000004 1.0751401102737645e-08 -5.468091471283465e-08 -1.8037970395123892e-08
66 0.06600000000000004 1.0958508989133975e-08 -5.562841252915174e-08 -1.8245572663833087e-08
67 0.06700000000000005 1.116670911294193e-08 -5.6579642873644254e-08 -1.8450966254857093e-08
68 0.06800000000000005 1.1375993924644945e-08 -5.753465051605566e-08 -1.865415577562146e-08
69 0.06900000000000005 1.1586354098369611e-08 -5.8493480420418464e-08 -1.885514644417441e-08
70 0.07000000000000005 1.1797782084599362e-08 -5.945617777280976e-08 -1.905394303447494e-08
71 0.07100000000000005 1.201026900155e-08 -6.042278820339586e-08 -1.9250550875593575e-08
72 0.07200000000000005 1.222380507925891e-08 -6.139335780031008e-08 -1.944497529660083e-08
73 0.07300000000000005 1.2438382990254127e-08 -6.236793259617457e-08 -1.9637221626567225e-08
74 0.07400000000000005 1.2653992076394616e-08 -6.33465593036231e-08 -1.9827295028029823e-08
75 0.07500000000000005 1.287062301180697e-08 -6.432928470467836e-08 -2.0015201329659504e-08
76 0.07600000000000005 1.3088266914706992e-08 -6.531615580340766e-08 -2.020094602706024e-08
77 0.07700000000000005 1.330691290490904e-08 -6.630722060307903e-08 -2.0384534782369457e-08
78 0.07800000000000006 1.3526551878584314e-08 -6.730252649633783e-08 -2.0565973590791486e-08
79 0.07900000000000006 1.3747170957145727e-08 -6.830212169461891e-08 -2.074526828099721e-08
80 0.08000000000000006 1.3968761924942896e-08 -6.930605489507968e-08 -2.0922424792679806e-08
81 0.08100000000000006 1.4191311903388737e-08 -7.031437450344402e-08 -2.1097449398599366e-08
82 0.08200000000000006 1.4414812898877472e-08 -7.132712989688095e-08 -2.1270348149471374e-08
83 0.08300000000000006 1.463925092259899e-08 -7.234437050807063e-08 -2.144112737356707e-08
84 0.08400000000000006 1.4864613095966206e-08 -7.336614570030431e-08 -2.1609793510179998e-08
85 0.08500000000000006 1.5090890981284133e-08 -7.439250580831835e-08 -2.1776353109626e-08
86 0.08600000000000006 1.531807103383187e-08 -7.542350109746021e-08 -2.1940812722220926e-08
87 0.08700000000000006 1.5546139042754703e-08 -7.645918220777759e-08 -2.210317900930292e-08
88 0.08800000000000006 1.577508501604541e-08 -7.749960009850732e-08 -2.2263458743232434e-08
89 0.08900000000000007 1.600489496489388e-08 -7.85448061035865e-08 -2.242165880739222e-08
90 0.09000000000000007 1.6235556010713026e-08 -7.959485179287462e-08 -2.2577786196187333e-08
91 0.09100000000000008 1.6467053942648135e-08 -8.064978909705367e-08 -2.2731848070556282e-08
92 0.09200000000000008 1.6699374993933702e-08 -8.170967022436137e-08 -2.2883851591437576e-08
93 0.09300000000000008 1.693250495371501e-08 -8.277454760508007e-08 -2.303380414181433e-08
