Шаг dt Diff_x Diff_y Diff_z
0 0.0 3.774702319603307e-07 -6.115523590889942e-07 -2.3151683731237327e-07
1 0.001 5.64619972109881e-07 -1.1126411997440695e-06 -4.6504175310602136e-07
2 0.002 7.516003130980664e-07 -1.6138432997339983e-06 -6.99532592907115e-07
3 0.003 9.384163319747785e-07 -2.115158523295635e-06 -9.349802876923441e-07
4 0.004 1.1250731319911722e-06 -2.6165866594939774e-06 -1.1713756767894878e-06
5 0.005 1.3115758239479192e-06 -3.1181275270391468e-06 -1.40870960263495e-06
6 0.006 1.4979295288597427e-06 -3.61978097473091e-06 -1.6469729108847808e-06
7 0.007 1.6841393759570167e-06 -4.121546881920984e-06 -1.8861564505812112e-06
8 0.008 1.8702105080148357e-06 -4.623425158950187e-06 -2.126251073875096e-06
9 0.009000000000000001 2.0561480729153203e-06 -5.125415747609871e-06 -2.3672476367475603e-06
10 0.01 2.2419572340837135e-06 -5.627518621608568e-06 -2.609136998676931e-06
11 0.011 2.427643156055481e-06 -6.12973378701781e-06 -2.851910022916293e-06
12 0.012 2.6132110200194347e-06 -6.632061282759588e-06 -3.095557576215935e-06
13 0.013 2.7986660131595897e-06 -7.134501181008807e-06 -3.340070529711525e-06
14 0.01400000000000001 2.9840133319858353e-06 -7.637053587729314e-06 -3.5854397584245135e-06
15 0.01500000000000001 3.1692581830000677e-06 -8.139718643121463e-06 -3.831656141484174e-06
16 0.01600000000000001 3.354405780031655e-06 -8.64249652204191e-06 -4.078710562516186e-06
17 0.01700000000000001 3.5394613460137947e-06 -9.145387434520563e-06 -4.326593909309562e-06
18 0.01800000000000001 3.7244301160921367e-06 -9.648391626239372e-06 -4.575297074482787e-06
19 0.01900000000000001 3.909317328076867e-06 -1.0151509378962531e-05 -4.824810954817682e-06
20 0.02000000000000001 4.094128231990624e-06 -1.065474101106037e-05 -5.075126452369627e-06
21 0.02100000000000001 4.2788680860716966e-06 -1.1158086877953444e-05 -5.326234473801428e-06
22 0.02200000000000001 4.463542155885847e-06 -1.1661547372587844e-05 -5.578125930938427e-06
23 0.02300000000000001 4.64815571588062e-06 -1.2165122925962557e-05 -5.8307917406019705e-06
24 0.02400000000000001 4.832714046054676e-06 -1.266881400752845e-05 -6.08422282516452e-06
25 0.02500000000000002 5.017222437952995e-06 -1.3172621125746853e-05 -6.338410112105564e-06
26 0.02600000000000002 5.20168619000394e-06 -1.3676544828575277e-05 -6.59334453478877e-06
27 0.02700000000000002 5.386110605076766e-06 -1.4180585703849058e-05 -6.8490170317958565e-06
28 0.02800000000000002 5.570500999141359e-06 -1.4684744379919734e-05 -7.105418548203346e-06
29 0.02900000000000002 5.754862689055784e-06 -1.5189021526050561e-05 -7.362540034305809e-06
30 0.03000000000000002 5.939201003002381e-06 -1.5693417852895297e-05 -7.62037244689262e-06
31 0.03100000000000002 6.123521276935051e-06 -1.619793411308107e-05 -7.878906748970405e-06
32 0.03200000000000002 6.307828851914721e-06 -1.6702571101576136e-05 -8.138133910151613e-06
33 0.03300000000000002 6.4921290758857e-06 -1.7207329656314385e-05 -8.398044906099411e-06
34 0.03400000000000002 6.676427305007948e-06 -1.7712210658590855e-05 -8.658630719304838e-06
35 0.03500000000000002 6.860728899882318e-06 -1.82172150336099e-05 -8.91988233936436e-06
36 0.03600000000000003 7.045039229103267e-06 -1.8722343750977866e-05 -9.181790762480269e-06
37 0.03700000000000003 7.2293636668163685e-06 -1.922759782518879e-05 -9.444346992182329e-06
38 0.03800000000000003 7.413707594050578e-06 -1.9732978316158722e-05 -9.707542039161243e-06
39 0.03900000000000003 7.598076396941877e-06 -2.0238486329690608e-05 -9.971366921934788e-06
40 0.04000000000000003 7.782475467843497e-06 -2.0744123017966964e-05 -1.0235812665626565e-05
41 0.04100000000000003 7.966910207102273e-06 -2.124988958014662e-05 -1.0500870303964405e-05
42 0.04200000000000003 8.1513860168414e-06 -2.175578726276023e-05 -1.0766530878725256e-05
43 0.04300000000000003 8.33590830695563e-06 -2.226181736025845e-05 -1.1032785438847004e-05
44 0.04400000000000003 8.520482492002657e-06 -2.2767981215560118e-05 -1.1299625042093808e-05
45 0.04500000000000003 8.70511399186924e-06 -2.327428022051714e-05 -1.1567040754612012e-05
46 0.04600000000000003 8.889808229994856e-06 -2.378071581642105e-05 -1.183502365076361e-05
47 0.04700000000000003 9.07457063803463e-06 -2.4287289494551167e-05 -1.2103564814014423e-05
48 0.04800000000000004 9.259406649864133e-06 -2.479400279666033e-05 -1.237265533632348e-05
49 0.04900000000000004 9.444321701135294e-06 -2.530085731547449e-05 -1.2642286318698126e-05
50 0.05000000000000004 9.629321239046362e-06 -2.5807854695247823e-05 -1.291244887180465e-05
51 0.05100000000000004 9.814410707020826e-06 -2.631499663227621e-05 -1.318313411519112e-05
52 0.05200000000000004 9.999595558030094e-06 -2.6822284875369085e-05 -1.345433317812006e-05
